,Dataset,Algorithm,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,max_samples,learning_rate,loss,estimator__max_depth,estimator__min_samples_split,subsample
0,dataset,Random-Forest,False,30,log2,4,5,10,,,,,,
1,dataset_wp,Random-Forest,True,20,sqrt,1,2,100,,,,,,
2,dataset_outliers,Random-Forest,False,30,log2,4,5,10,,,,,,
3,dataset_wp_outliers,Random-Forest,True,20,sqrt,1,2,100,,,,,,
4,dataset_isolation,Random-Forest,False,30,log2,4,5,10,,,,,,
5,dataset_wp_isolation,Random-Forest,True,20,sqrt,1,2,100,,,,,,
6,dataset_log,Random-Forest,False,30,log2,4,5,10,,,,,,
7,dataset_wp_log,Random-Forest,True,20,sqrt,1,2,100,,,,,,
8,dataset_sample,Random-Forest,True,20,sqrt,1,2,100,,,,,,
9,dataset_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
10,dataset_wp_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
11,dataset_outliers_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
12,dataset_wp_outliers_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
13,dataset_isolation_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
14,dataset_wp_isolation_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
15,dataset_log_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
16,dataset_wp_log_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
17,dataset_representative,Random-Forest,False,30,log2,4,5,10,,,,,,
18,dataset_outliers_representative,Random-Forest,True,20,sqrt,1,2,100,,,,,,
19,dataset_isolation_l_generated,Random-Forest,True,10,sqrt,4,5,50,,,,,,
20,dataset_isolation_generated,Random-Forest,True,20,sqrt,1,2,100,,,,,,
21,dataset_outliers_generated,Random-Forest,True,20,sqrt,1,2,100,,,,,,
22,dataset_outliers_l_generated,Random-Forest,True,10,sqrt,4,5,50,,,,,,
23,dataset_reduce_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
24,dataset_reduce_outliers_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
25,dataset_reduce_isolation_l,Random-Forest,True,20,sqrt,1,2,100,,,,,,
26,dataset,Extra-Trees,True,30,log2,1,2,10,,,,,,
27,dataset_wp,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
28,dataset_outliers,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
29,dataset_wp_outliers,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
30,dataset_isolation,Extra-Trees,True,30,log2,1,2,10,,,,,,
31,dataset_wp_isolation,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
32,dataset_log,Extra-Trees,True,30,log2,1,2,10,,,,,,
33,dataset_wp_log,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
34,dataset_sample,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
35,dataset_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
36,dataset_wp_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
37,dataset_outliers_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
38,dataset_wp_outliers_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
39,dataset_isolation_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
40,dataset_wp_isolation_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
41,dataset_log_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
42,dataset_wp_log_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
43,dataset_representative,Extra-Trees,True,30,log2,1,2,10,,,,,,
44,dataset_outliers_representative,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
45,dataset_isolation_l_generated,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
46,dataset_isolation_generated,Extra-Trees,False,30,log2,4,5,10,,,,,,
47,dataset_outliers_generated,Extra-Trees,False,30,log2,4,5,10,,,,,,
48,dataset_outliers_l_generated,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
49,dataset_reduce_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
50,dataset_reduce_outliers_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
51,dataset_reduce_isolation_l,Extra-Trees,True,20,sqrt,1,2,100,,,,,,
52,dataset,Bagging,True,,,,,100,0.8,,,,,
53,dataset_wp,Bagging,True,,,,,100,0.8,,,,,
54,dataset_outliers,Bagging,True,,,,,100,0.8,,,,,
55,dataset_wp_outliers,Bagging,True,,,,,100,0.8,,,,,
56,dataset_isolation,Bagging,True,,,,,100,0.8,,,,,
57,dataset_wp_isolation,Bagging,True,,,,,100,0.8,,,,,
58,dataset_log,Bagging,True,,,,,100,0.8,,,,,
59,dataset_wp_log,Bagging,True,,,,,100,0.8,,,,,
60,dataset_sample,Bagging,True,,,,,100,0.8,,,,,
61,dataset_l,Bagging,True,,,,,100,0.8,,,,,
62,dataset_wp_l,Bagging,True,,,,,100,0.8,,,,,
63,dataset_outliers_l,Bagging,True,,,,,100,0.8,,,,,
64,dataset_wp_outliers_l,Bagging,True,,,,,100,0.8,,,,,
65,dataset_isolation_l,Bagging,True,,,,,100,0.8,,,,,
66,dataset_wp_isolation_l,Bagging,True,,,,,100,0.8,,,,,
67,dataset_log_l,Bagging,True,,,,,100,0.8,,,,,
68,dataset_wp_log_l,Bagging,True,,,,,100,0.8,,,,,
69,dataset_representative,Bagging,True,,,,,100,0.8,,,,,
70,dataset_outliers_representative,Bagging,True,,,,,100,0.8,,,,,
71,dataset_isolation_l_generated,Bagging,True,,,,,100,0.8,,,,,
72,dataset_isolation_generated,Bagging,True,,,,,100,0.8,,,,,
73,dataset_outliers_generated,Bagging,True,,,,,100,0.8,,,,,
74,dataset_outliers_l_generated,Bagging,True,,,,,100,0.8,,,,,
75,dataset_reduce_l,Bagging,True,,,,,100,0.8,,,,,
76,dataset_reduce_outliers_l,Bagging,True,,,,,100,0.8,,,,,
77,dataset_reduce_isolation_l,Bagging,True,,,,,100,0.8,,,,,
78,dataset,Ada-Boost,,,,,,200,,0.001,linear,5,2,
79,dataset_wp,Ada-Boost,,,,,,50,,0.01,linear,5,10,
80,dataset_outliers,Ada-Boost,,,,,,200,,0.001,linear,5,2,
81,dataset_wp_outliers,Ada-Boost,,,,,,50,,0.01,linear,5,10,
82,dataset_isolation,Ada-Boost,,,,,,200,,0.001,linear,5,2,
83,dataset_wp_isolation,Ada-Boost,,,,,,50,,0.01,linear,5,10,
84,dataset_log,Ada-Boost,,,,,,200,,0.001,linear,5,2,
85,dataset_wp_log,Ada-Boost,,,,,,200,,0.001,linear,5,2,
86,dataset_sample,Ada-Boost,,,,,,50,,0.01,linear,5,2,
87,dataset_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
88,dataset_wp_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
89,dataset_outliers_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
90,dataset_wp_outliers_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
91,dataset_isolation_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
92,dataset_wp_isolation_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
93,dataset_log_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
94,dataset_wp_log_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
95,dataset_representative,Ada-Boost,,,,,,50,,0.01,linear,5,10,
96,dataset_outliers_representative,Ada-Boost,,,,,,200,,0.001,linear,5,2,
97,dataset_isolation_l_generated,Ada-Boost,,,,,,200,,0.001,linear,5,2,
98,dataset_isolation_generated,Ada-Boost,,,,,,50,,0.5,exponential,5,2,
99,dataset_outliers_generated,Ada-Boost,,,,,,50,,0.5,exponential,5,2,
100,dataset_outliers_l_generated,Ada-Boost,,,,,,200,,0.001,linear,5,2,
101,dataset_reduce_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
102,dataset_reduce_outliers_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
103,dataset_reduce_isolation_l,Ada-Boost,,,,,,200,,0.001,linear,5,2,
104,dataset,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
105,dataset_wp,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
106,dataset_outliers,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
107,dataset_wp_outliers,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
108,dataset_isolation,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
109,dataset_wp_isolation,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
110,dataset_log,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
111,dataset_wp_log,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
112,dataset_sample,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
113,dataset_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
114,dataset_wp_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
115,dataset_outliers_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
116,dataset_wp_outliers_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
117,dataset_isolation_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
118,dataset_wp_isolation_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
119,dataset_log_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
120,dataset_wp_log_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
121,dataset_representative,Gradient-Boosting-Regressor,,3,log2,4,10,100,,0.5,,,,1.0
122,dataset_outliers_representative,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
123,dataset_isolation_l_generated,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
124,dataset_isolation_generated,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
125,dataset_outliers_generated,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
126,dataset_outliers_l_generated,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
127,dataset_reduce_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
128,dataset_reduce_outliers_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
129,dataset_reduce_isolation_l,Gradient-Boosting-Regressor,,10,sqrt,2,10,100,,0.1,,,,1.0
